mesure,contexte,sql,valeur_sql
Évolution volume %,"annee=2025, type_bien=Maison, commune=Béziers",COUNT(*) / COUNT(*) (N-1) - 1,0.117117
Évolution depuis 2021 %,"annee=2025, type_bien=Maison, commune=Béziers",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.119888
Part des maisons %,"annee=2025, type_bien=Maison, commune=Béziers","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.393339
Prix m² médian publiable,"annee=2025, type_bien=Maison, commune=Béziers",CASE WHEN COUNT(*) >= 30 THEN MEDIAN(prix_m2) END,2267.43
Écart à l'Hérault %,"annee=2025, type_bien=Maison, commune=Béziers",MEDIAN(prix_m2 commune) / MEDIAN(prix_m2 département) - 1,-0.258158
Rang prix commune,"annee=2025, type_bien=Maison, commune=Béziers","DENSE_RANK() OVER (ORDER BY prix_m2_median DESC), communes publiables",72
Nb ventes,"annee=2025, type_bien=Appartement, commune=Sète",COUNT(*),883
Volume d'affaires,"annee=2025, type_bien=Appartement, commune=Sète",SUM(valeur_fonciere),1.64706e+08
Prix m² médian,"annee=2025, type_bien=Appartement, commune=Sète",MEDIAN(prix_m2),3497.46
Prix m² moyen,"annee=2025, type_bien=Appartement, commune=Sète",AVG(prix_m2),3716.2
Prix m² 1er quartile,"annee=2025, type_bien=Appartement, commune=Sète","QUANTILE_CONT(prix_m2, 0.25)",2651.65
Prix m² 3e quartile,"annee=2025, type_bien=Appartement, commune=Sète","QUANTILE_CONT(prix_m2, 0.75)",4587.31
Valeur médiane,"annee=2025, type_bien=Appartement, commune=Sète",MEDIAN(valeur_fonciere),154600
Surface médiane,"annee=2025, type_bien=Appartement, commune=Sète",MEDIAN(surface_bati),48
Évolution prix m² %,"annee=2025, type_bien=Appartement, commune=Sète",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.0249124
Évolution volume %,"annee=2025, type_bien=Appartement, commune=Sète",COUNT(*) / COUNT(*) (N-1) - 1,0.0821078
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement, commune=Sète",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.20701
Part des maisons %,"annee=2025, type_bien=Appartement, commune=Sète","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.13176
