mesure,contexte,valeur_dax,valeur_sql,ecart_absolu,ecart_relatif,identique
Prix m² moyen,"annee=2025, type_bien=Maison, commune=Béziers",2332.71226392,2332.71226392,-9.09494701773e-13,-3.89887220915e-16,True
Prix m² médian,"annee=2025, type_bien=Maison, commune=Béziers",2267.42788462,2267.42788462,-4.54747350886e-12,-2.00556478101e-15,True
Prix m² médian publiable,"annee=2025, type_bien=Maison, commune=Béziers",2267.42788462,2267.42788462,-4.54747350886e-12,-2.00556478101e-15,True
Rang prix commune,"annee=2025, type_bien=Maison, commune=Béziers",72,72,0,0,True
Surface médiane,"annee=2025, type_bien=Maison, commune=Béziers",90.5,90.5,0,0,True
Valeur médiane,"annee=2025, type_bien=Maison, commune=Béziers",196927.5,196927.5,0,0,True
Volume d'affaires,"annee=2025, type_bien=Maison, commune=Béziers",113812413.66,113812413.66,0,0,True
Écart à l'Hérault %,"annee=2025, type_bien=Maison, commune=Béziers",-0.258158334762,-0.258158334762,4.4408920985e-16,-1.72022030689e-15,True
Évolution depuis 2021 %,"annee=2025, type_bien=Maison, commune=Béziers",0.119888162523,0.119888162523,-2.08166817117e-16,-1.73634170994e-15,True
Évolution prix m² %,"annee=2025, type_bien=Maison, commune=Béziers",0.00210416113336,0.00210416113336,-1.00180280738e-16,-4.76105556506e-14,True
Nb ventes,"annee=2025, type_bien=Maison, commune=Montpellier",455,455,0,0,True
Part des maisons %,"annee=2025, type_bien=Maison, commune=Montpellier",0.102685624013,0.102685624013,-1.94289029309e-16,-1.89207623927e-15,True
Prix m² 1er quartile,"annee=2025, type_bien=Maison, commune=Montpellier",3232.10489015,3232.10489015,-9.09494701773e-13,-2.81393931411e-16,True
Prix m² 3e quartile,"annee=2025, type_bien=Maison, commune=Montpellier",4757.29166667,4757.29166667,4.54747350886e-12,9.55895460589e-16,True
Prix m² moyen,"annee=2025, type_bien=Maison, commune=Montpellier",4061.74748415,4061.74748415,-1.81898940355e-12,-4.47834192216e-16,True
Prix m² médian,"annee=2025, type_bien=Maison, commune=Montpellier",3809.13043478,3809.13043478,9.09494701773e-13,2.38767014505e-16,True
Prix m² médian publiable,"annee=2025, type_bien=Maison, commune=Montpellier",3809.13043478,3809.13043478,9.09494701773e-13,2.38767014505e-16,True
Rang prix commune,"annee=2025, type_bien=Maison, commune=Montpellier",23,23,0,0,True
Surface médiane,"annee=2025, type_bien=Maison, commune=Montpellier",97,97,0,0,True
Valeur médiane,"annee=2025, type_bien=Maison, commune=Montpellier",359600,359600,0,0,True
Volume d'affaires,"annee=2025, type_bien=Maison, commune=Montpellier",188221224.18,188221224.18,0,0,True
Écart à l'Hérault %,"annee=2025, type_bien=Maison, commune=Montpellier",0.246245441375,0.246245441375,-1.11022302463e-16,-4.50860336104e-16,True
Évolution depuis 2021 %,"annee=2025, type_bien=Maison, commune=Montpellier",0.0386472057805,0.0386472057805,2.01227923213e-16,5.20679099949e-15,True
Évolution prix m² %,"annee=2025, type_bien=Maison, commune=Montpellier",-0.0549017410383,-0.0549017410383,-9.71445146547e-17,1.76942502765e-15,True
Nb ventes,"annee=2025, type_bien=Maison, commune=Sète",134,134,0,0,True
Part des maisons %,"annee=2025, type_bien=Maison, commune=Sète",0.131760078663,0.131760078663,4.99600361081e-16,3.79174303895e-15,True
Prix m² 1er quartile,"annee=2025, type_bien=Maison, commune=Sète",3445.68181818,3445.68181818,1.81898940355e-12,5.27904054851e-16,True
Prix m² 3e quartile,"annee=2025, type_bien=Maison, commune=Sète",5836.58839252,5836.58839252,2.72848410532e-12,4.67479274163e-16,True
Prix m² moyen,"annee=2025, type_bien=Maison, commune=Sète",4801.38780717,4801.38780717,0,0,True
Prix m² médian,"annee=2025, type_bien=Maison, commune=Sète",4328.96464646,4328.96464646,2.72848410532e-12,6.30285605947e-16,True
Prix m² médian publiable,"annee=2025, type_bien=Maison, commune=Sète",4328.96464646,4328.96464646,2.72848410532e-12,6.30285605947e-16,True
Rang prix commune,"annee=2025, type_bien=Maison, commune=Sète",8,8,0,0,True
Surface médiane,"annee=2025, type_bien=Maison, commune=Sète",95,95,0,0,True
Valeur médiane,"annee=2025, type_bien=Maison, commune=Sète",379775,379775,0,0,True
Volume d'affaires,"annee=2025, type_bien=Maison, commune=Sète",75195695,75195695,0,0,True
Écart à l'Hérault %,"annee=2025, type_bien=Maison, commune=Sète",0.416321270405,0.416321270405,3.33066907388e-16,8.00023758246e-16,True
Évolution depuis 2021 %,"annee=2025, type_bien=Maison, commune=Sète",0.0759211361454,0.0759211361454,0,0,True
Évolution prix m² %,"annee=2025, type_bien=Maison, commune=Sète",-0.00780402137545,-0.00780402137545,0,-0,True
Nb ventes,aucun filtre,105463,105463,0,0,True
Part des maisons %,aucun filtre,0.446317665911,0.446317665911,-4.4408920985e-16,-9.95007018025e-16,True
Prix m² 1er quartile,aucun filtre,2338.70967742,2338.70967742,-4.09272615798e-12,-1.74999325376e-15,True
Prix m² 3e quartile,aucun filtre,4159.89469065,4159.89469065,4.54747350886e-12,1.09317034373e-15,True
Prix m² moyen,aucun filtre,3357.17531373,3357.17531373,-1.72803993337e-11,-5.14730322931e-15,True
Prix m² médian,aucun filtre,3223.68421053,3223.68421053,4.09272615798e-12,1.26958035921e-15,True
Surface médiane,aucun filtre,65,65,0,0,True
Valeur médiane,aucun filtre,180000,180000,0,0,True
Volume d'affaires,aucun filtre,23693536754.2,23693536754.2,-3.81469726562e-06,-1.61001597406e-16,True
