code_commune,nom_commune,code_postal_principal,ville_suivie
34147,Magalas,34480,false
34212,Poujols,34700,false
34215,Pouzols,34230,false
34217,Prades-le-Lez,34730,false
34220,Le Puech,34700,false
34223,Puimisson,34480,false
34237,Roujan,34320,false
34259,Saint-Georges-d'Orques,34680,false
34278,Saint-Michel,34520,false
34321,Valergues,34130,false
34007,Aigues-Vives,34210,false
34016,Aumelas,34230,false
34089,Creissan,34370,false
34108,Frontignan,34110,false
34112,Garrigues,34160,false
34113,Gigean,34770,false
34134,Lavérune,34880,false
34135,Lespignan,34710,false
34214,Pouzolles,34480,false
34218,Prades-sur-Vernazobre,34360,false
34232,Roquebrun,34460,false
34243,Saint-Bauzille-de-Putois,34190,false
34263,Saint-Hilaire-de-Beauvoir,34160,false
34264,Saint-Jean-de-Buèges,34380,false
34310,Thézan-lès-Béziers,34490,false
34319,Vailhan,34320,false
34344,La Grande-Motte,34280,false
34040,Brenas,34650,false
34057,Castelnau-le-Lez,34170,false
34064,Le Caylar,34520,false
34075,Cesseras,34210,false
34078,Claret,34270,false
34117,Graissessac,34260,false
34131,Lauret,34270,false
34139,Lieuran-lès-Béziers,34290,false
34142,Lodève,34700,false
34144,Lunas,34650,false
34152,Mas-de-Londres,34380,false
34153,Les Matelles,34270,false
34157,Mèze,34140,false
34183,Nissan-lez-Enserune,34440,false
34226,Quarante,34310,false
34233,Roqueredonde,34650,false
34240,Saint-Aunès,34130,false
34266,Saint-Jean-de-Cuculles,34270,false
34277,Saint-Maurice-Navacelles,34520,false
34280,Saint-Nazaire-de-Pézan,34400,false
34281,Saint-Pargoire,34230,false
