code_commune,nom_commune,type_bien,nb_ventes_periode,nb_ventes_debut,prix_m2_median_debut,nb_ventes_fin,prix_m2_median_fin,evolution_prix_m2
34266,Saint-Jean-de-Cuculles,Appartement,1,,,1,,
34015,Assignan,Appartement,1,,,,,
34265,Saint-Jean-de-Cornies,Appartement,1,,,1,,
34313,Tressan,Appartement,1,,,,,
34287,Saint-Saturnin-de-Lucian,Appartement,1,,,,,
34242,Saint-Bauzille-de-Montmel,Appartement,1,,,,,
34338,Villeneuvette,Appartement,1,,,,,
34340,Villetelle,Appartement,1,,,,,
34107,Fraisse-sur-Agout,Appartement,1,,,,,
34141,La Livinière,Appartement,1,,,,,
34061,Causses-et-Veyran,Appartement,1,,,,,
34221,Puéchabon,Appartement,1,,,,,
34288,Saint-Sériès,Appartement,1,,,1,,
34032,Béziers,Maison,2622,601,2024.69,496,2267.43,0.119888
34172,Montpellier,Maison,2429,584,3667.4,455,3809.13,0.0386472
34003,Agde,Maison,2153,540,3440.95,366,4149.94,0.206045
34145,Lunel,Maison,1067,262,2766.97,221,3013.7,0.0891699
34108,Frontignan,Maison,982,239,3265.05,173,3452.38,0.0573761
34150,Marseillan,Maison,783,223,3346.15,118,3801.94,0.136212
34301,Sète,Maison,709,190,4023.5,134,4328.96,0.0759211
34332,Vias,Maison,659,177,2786,104,2929.55,0.0515239
34154,Mauguio,Maison,657,152,4100.27,141,4225,0.0304201
34057,Castelnau-le-Lez,Maison,654,145,4473.68,118,4521.94,0.0107876
34157,Mèze,Maison,630,156,3262.01,121,3569.47,0.0942546
34324,Valras-Plage,Maison,569,158,3209.2,94,3711.31,0.156461
34209,Portiragnes,Maison,556,117,3340,100,3562.1,0.0664965
34299,Sérignan,Maison,554,132,2639.93,100,2965.51,0.123326
34123,Juvignac,Maison,535,147,3164.38,89,3274.62,0.0348352
34129,Lattes,Maison,527,120,4497.01,122,4520.87,0.00530706
34255,Saint-Gély-du-Fesc,Maison,476,128,3905.15,67,4350,0.113914
34198,Pérols,Maison,468,91,4429.41,86,4694.82,0.0599198
34300,Servian,Maison,425,107,2102.27,74,2615.81,0.244279
34270,Saint-Jean-de-Védas,Maison,403,89,3939.66,77,4056,0.0295317
34101,Florensac,Maison,390,100,2161.47,60,2684.7,0.24207
34022,Baillargues,Maison,372,102,3677.78,87,3955.49,0.0755103
34151,Marsillargues,Maison,370,97,2416.67,70,2894.26,0.197623
34199,Pézenas,Maison,368,84,2516.39,73,2602.65,0.0342799
34337,Villeneuve-lès-Maguelone,Maison,367,104,3966.03,48,3955.39,-0.00268333
34079,Clermont-l'Hérault,Maison,358,84,2658.51,67,2488,-0.0641365
34031,Bessan,Maison,355,100,2203.42,55,2495.37,0.1325
34090,Le Crès,Maison,349,68,3765.66,67,3841.74,0.0202032
34333,Vic-la-Gardiole,Maison,343,79,4914.29,59,4923.23,0.00182053
34069,Cazouls-lès-Béziers,Maison,332,69,2211.11,66,1932.83,-0.125855
34239,Saint-André-de-Sangonis,Maison,327,96,2487.42,54,2804.66,0.127536
34298,Sauvian,Maison,327,90,2556.79,61,3013.7,0.178703
34202,Pignan,Maison,323,75,3362.07,78,3639.85,0.0826211
34088,Cournonterral,Maison,318,78,3243.81,67,3388.1,0.0444792
34095,Fabrègues,Maison,314,80,3528.04,59,3700,0.048741
34113,Gigean,Maison,314,93,3113.04,68,3214.02,0.0324354
34213,Poussan,Maison,306,84,3219.67,54,3114.7,-0.032605
34329,Vendres,Maison,306,76,3039.03,53,3388.89,0.11512
34207,Pomérols,Maison,298,76,2500,45,2784.62,0.113846
34114,Gignac,Maison,298,84,2836.39,45,2841.3,0.00173314
34148,Maraussan,Maison,297,73,2221.19,55,2333.33,0.0504888
34162,Montagnac,Maison,297,61,1950.58,52,2061.36,0.0567945
34336,Villeneuve-lès-Béziers,Maison,297,70,2207.26,53,2129.03,-0.0354433
34183,Nissan-lez-Enserune,Maison,297,67,1884.42,52,2420.99,0.284737
34194,Paulhan,Maison,295,66,2494.3,57,2533.33,0.0156478
34344,La Grande-Motte,Maison,293,85,5725.83,57,5905.26,0.0313369
34058,Castries,Maison,291,74,3839.28,41,3737.37,-0.026544
34135,Lespignan,Maison,267,56,1800.78,51,2437.5,0.353579
34052,Capestang,Maison,263,48,1892.55,55,2134.64,0.12792
34028,Bédarieux,Maison,261,60,1535.37,38,1898.47,0.236489
34327,Vendargues,Maison,261,69,3740,60,3898.6,0.042407
34023,Balaruc-les-Bains,Maison,257,67,3372.73,42,4015.97,0.190718
34217,Prades-le-Lez,Maison,251,71,4056.6,41,3878.5,-0.0439035
34147,Magalas,Maison,250,54,2289.24,37,2635.34,0.151189
34142,Lodève,Maison,248,49,2000,47,2250,0.125
34289,Saint-Thibéry,Maison,246,55,2236.84,37,2467.89,0.103292
34116,Grabels,Maison,244,66,3613.28,31,3658.12,0.0124101
34166,Montblanc,Maison,240,54,2227.26,42,2268.73,0.0186175
34225,Puisserguier,Maison,237,53,1780.7,46,1711.11,-0.0390805
34237,Roujan,Maison,234,53,2359.17,42,2479.68,0.0510844
34120,Jacou,Maison,223,60,3971.52,39,4108.22,0.0344186
34063,Caux,Maison,218,46,2549.14,45,2526.7,-0.00880576
34161,Montady,Maison,217,57,2177.71,30,2523.4,0.158742
34178,Murviel-lès-Béziers,Maison,213,45,1956.52,44,1960,0.00177778
34247,Saint-Clément-de-Rivière,Maison,212,60,3944.43,41,4183.67,0.0606537
34140,Lignan-sur-Orb,Maison,208,58,2398.28,44,2495.38,0.0404905
34051,Canet,Maison,205,52,2682.3,35,3076.92,0.147119
34310,Thézan-lès-Béziers,Maison,199,58,2268.14,29,,
34077,Clapiers,Maison,198,52,3934.47,40,4112.63,0.0452815
34341,Villeveyrac,Maison,197,52,2423.1,38,2486.77,0.0262732
34143,Loupian,Maison,195,49,2855.56,33,3475.61,0.21714
34293,La Salvetat-sur-Agout,Maison,189,54,1219.38,26,,
34146,Lunel-Viel,Maison,186,33,3072.5,30,3274.52,0.0657525
34276,Saint-Mathieu-de-Tréviers,Maison,183,56,3557.63,30,3947.04,0.109458
34025,Bassan,Maison,180,34,2082.32,32,2344.3,0.125813
34281,Saint-Pargoire,Maison,179,46,2313.52,25,,
34309,Teyran,Maison,178,49,3909.45,29,,
34163,Montarnaud,Maison,175,59,3089.89,30,3339.58,0.0808106
34259,Saint-Georges-d'Orques,Maison,175,43,3300.97,37,3558.28,0.0779499
34240,Saint-Aunès,Maison,174,35,3861.79,54,3900.89,0.0101259
34192,Palavas-les-Flots,Maison,168,44,4548.38,41,5108.55,0.123159
34127,Lansargues,Maison,164,33,2652.72,30,3433.42,0.294303
34169,Montferrier-sur-Lez,Maison,163,50,4266.19,17,,
34081,Colombiers,Maison,162,42,2389.06,30,2712.81,0.135514
34037,Boujan-sur-Libron,Maison,158,47,2228.26,18,,
34130,Laurens,Maison,158,28,,30,2075,
34258,Saint-Geniès-de-Fontedit,Maison,158,43,2000,31,2584.78,0.292391
34074,Cessenon-sur-Orb,Maison,157,31,1880.95,31,1750.37,-0.0694233
34155,Maureilhan,Maison,156,35,2260.87,31,2498.13,0.104942
34245,Saint-Chinian,Maison,148,33,1440,27,,
34159,Mireval,Maison,147,31,3423.42,26,,
34010,Aniane,Maison,144,39,2775,25,,
34311,Tourbes,Maison,143,38,2659.78,22,,
34210,Le Pouget,Maison,140,35,2570,25,,
34009,Alignan-du-Vent,Maison,138,38,2479.44,20,,
34087,Cournonsec,Maison,138,35,3343.54,27,,
34176,Mudaison,Maison,135,41,3421.05,23,,
34165,Montbazin,Maison,135,36,2692.95,23,,
34182,Nézignan-l'Évêque,Maison,135,39,2630.74,24,,
34249,Saint-Drézéry,Maison,135,35,3382.86,21,,
34189,Olonzac,Maison,131,25,,25,,
34226,Quarante,Maison,129,32,1700.81,18,,
34073,Cers,Maison,128,39,2406.98,21,,
34272,Saint-Just,Maison,126,33,3318.22,24,,
34244,Saint-Brès,Maison,125,34,3669.94,21,,
34325,Valros,Maison,125,41,2405.56,19,,
34013,Aspiran,Maison,122,34,2136.42,20,,
34134,Lavérune,Maison,121,21,,22,,
34024,Balaruc-le-Vieux,Maison,120,40,3548.28,24,,
34224,Puissalicon,Maison,120,31,2284.55,21,,
34214,Pouzolles,Maison,119,27,,24,,
34089,Creissan,Maison,116,42,2271.41,13,,
34203,Pinet,Maison,116,31,2348.84,27,,
34001,Abeilhan,Maison,116,28,,20,,
34227,Restinclières,Maison,114,33,3500,17,,
34126,Lamalou-les-Bains,Maison,113,20,,17,,
34204,Plaissan,Maison,109,27,,10,,
34181,Neffiès,Maison,108,25,,16,,
34295,Saussan,Maison,107,19,,17,,
34136,Lézignan-la-Cèbe,Maison,105,23,,23,,
34109,Gabian,Maison,104,22,,14,,
34033,Boisseron,Maison,104,20,,11,,
34180,Nébian,Maison,103,24,,19,,
34111,Ganges,Maison,102,25,,13,,
34084,Corneilhan,Maison,101,24,,20,,
34307,Sussargues,Maison,100,26,,13,,
34321,Valergues,Maison,99,33,3430.69,16,,
34119,Hérépian,Maison,99,25,,20,,
34139,Lieuran-lès-Béziers,Maison,98,15,,24,,
34243,Saint-Bauzille-de-Putois,Maison,98,26,,21,,
34312,La Tour-sur-Orb,Maison,95,18,,19,,
34267,Saint-Jean-de-Fos,Maison,94,26,,16,,
34320,Vailhauquès,Maison,94,34,3335.53,14,,
34223,Puimisson,Maison,92,22,,11,,
34018,Autignac,Maison,91,16,,17,,
34246,Entre-Vignes,Maison,90,30,2919.78,19,,
34002,Adissan,Maison,89,22,,19,,
34027,Beaulieu,Maison,88,25,,19,,
34274,Saint-Martin-de-Londres,Maison,88,26,,10,,
34038,Le Bousquet-d'Orb,Maison,88,13,,21,,
34128,Laroque,Maison,87,21,,13,,
34256,Saint-Geniès-des-Mourgues,Maison,86,23,,10,,
34050,Candillargues,Maison,82,20,,16,,
34179,Murviel-lès-Montpellier,Maison,81,22,,17,,
34302,Siran,Maison,80,17,,14,,
34039,Bouzigues,Maison,79,21,,15,,
34284,Saint-Pons-de-Thomières,Maison,78,16,,13,,
34076,Ceyras,Maison,76,15,,12,,
34197,Péret,Maison,75,15,,17,,
34067,Cazilhac,Maison,74,18,,9,,
34173,Montpeyroux,Maison,73,21,,17,,
34103,Fontès,Maison,73,19,,19,,
34094,Espondeilhan,Maison,73,16,,11,,
34211,Le Poujol-sur-Orb,Maison,71,17,,19,,
34082,Combaillaux,Maison,71,16,,16,,
34153,Les Matelles,Maison,70,22,,8,,
34056,Castelnau-de-Guers,Maison,70,18,,8,,
34014,Assas,Maison,69,13,,16,,
34092,Cruzy,Maison,69,13,,16,,
34036,Le Bosc,Maison,66,21,,7,,
34078,Claret,Maison,64,21,,10,,
34340,Villetelle,Maison,64,17,,10,,
34232,Roquebrun,Maison,62,16,,13,,
34254,Saint-Félix-de-Lodez,Maison,59,12,,9,,
34096,Faugères,Maison,58,15,,9,,
34041,Brignac,Maison,56,16,,8,,
34242,Saint-Bauzille-de-Montmel,Maison,56,19,,9,,
34029,Bélarga,Maison,56,12,,13,,
34070,Cébazan,Maison,55,17,,10,,
34184,Nizas,Maison,55,7,,11,,
34149,Margon,Maison,55,12,,8,,
34229,Riols,Maison,54,10,,11,,
34141,La Livinière,Maison,53,10,,18,,
34012,Argelliers,Maison,53,17,,9,,
34061,Causses-et-Veyran,Maison,53,2,,10,,
34288,Saint-Sériès,Maison,52,12,,5,,
34047,Campagnan,Maison,51,10,,12,,
34285,Saint-Pons-de-Mauchiens,Maison,51,10,,12,,
34304,Soubès,Maison,51,12,,12,,
34035,La Boissière,Maison,51,13,,13,,
34282,Saint-Paul-et-Valmalle,Maison,50,10,,9,,
34328,Vendémian,Maison,49,11,,10,,
34260,Saint-Gervais-sur-Mare,Maison,47,10,,5,,
34117,Graissessac,Maison,47,8,,6,,
34086,Courniou,Maison,47,13,,5,,
34294,Saturargues,Maison,45,13,,11,,
34219,Prémian,Maison,44,7,,7,,
34296,Saussines,Maison,44,11,,5,,
34144,Lunas,Maison,44,13,,7,,
34241,Saint-Bauzille-de-la-Sylve,Maison,44,7,,10,,
34097,Félines-Minervois,Maison,42,8,,8,,
34308,Taussac-la-Billière,Maison,42,8,,8,,
34045,Cabrières,Maison,40,10,,9,,
34318,Vacquières,Maison,40,11,,15,,
34268,Saint-Jean-de-la-Blaquière,Maison,40,5,,9,,
34191,Pailhès,Maison,39,10,,10,,
34122,Jonquières,Maison,39,11,,8,,
34335,Villemagne-l'Argentière,Maison,39,10,,2,,
34065,Cazedarnes,Maison,38,7,,6,,
34313,Tressan,Maison,38,9,,9,,
34068,Cazouls-d'Hérault,Maison,37,7,,7,,
34215,Pouzols,Maison,37,8,,7,,
34343,Viols-le-Fort,Maison,37,13,,3,,
34017,Aumes,Maison,37,14,,7,,
34110,Galargues,Maison,36,12,,8,,
34174,Moulès-et-Baucels,Maison,36,11,,4,,
34007,Aigues-Vives,Maison,35,6,,8,,
34187,Olargues,Maison,35,10,,9,,
34164,Montaud,Maison,33,12,,5,,
34080,Colombières-sur-Orb,Maison,33,4,,10,,
34265,Saint-Jean-de-Cornies,Maison,33,9,,5,,
34251,Saint-Étienne-de-Gourgas,Maison,32,8,,5,,
34085,Coulobres,Maison,32,4,,7,,
34107,Fraisse-sur-Agout,Maison,32,8,,5,,
34279,Saint-Nazaire-de-Ladarez,Maison,32,7,,6,,
34075,Cesseras,Maison,32,2,,7,,
34044,Cabrerolles,Maison,31,6,,10,,
34064,Le Caylar,Maison,31,11,,5,,
